"type","chr","start","end","id","name"
"mirna","chr14",100884716,100884738,"MIMAT0000448","hsa-mir-136-5p"
"mirna","chr14",100884750,100884771,"MIMAT0004606","hsa-mir-136-3p"
"mirna_primary_transcript","chr14",100911139,100911213,"MI0000778","hsa-mir-370"
"mirna","chr14",100911186,100911207,"MIMAT0000722","hsa-mir-370-3p"
"mirna","chr14",100911151,100911172,"MIMAT0026483","hsa-mir-370-5p"
"mirna_primary_transcript","chr14",101022066,101022132,"MI0000787","hsa-mir-379"
"mirna","chr14",101022071,101022091,"MIMAT0000733","hsa-mir-379-5p"
"mirna","chr14",101022109,101022130,"MIMAT0004690","hsa-mir-379-3p"
"mirna_primary_transcript","chr14",101023325,101023420,"MI0003675","hsa-mir-411"
"mirna","chr14",101023340,101023360,"MIMAT0003329","hsa-mir-411-5p"
"mirna","chr14",101023375,101023396,"MIMAT0004813","hsa-mir-411-3p"
"mirna_primary_transcript","chr14",101023794,101023856,"MI0000744","hsa-mir-299"
"mirna","chr14",101023800,101023821,"MIMAT0002890","hsa-mir-299-5p"
"mirna","chr14",101023832,101023853,"MIMAT0000687","hsa-mir-299-3p"
"mirna_primary_transcript","chr14",101025017,101025077,"MI0000788","hsa-mir-380"
"mirna","chr14",101025021,101025042,"MIMAT0000734","hsa-mir-380-5p"
"mirna","chr14",101025056,101025077,"MIMAT0000735","hsa-mir-380-3p"
"mirna","chr14",101025620,101025640,"MIMAT0005955","hsa-mir-1197"
"mirna_primary_transcript","chr14",101025732,101025817,"MI0000807","hsa-mir-323a"
"mirna","chr14",101025747,101025768,"MIMAT0004696","hsa-mir-323a-5p"
"mirna","chr14",101025782,101025802,"MIMAT0000755","hsa-mir-323a-3p"
"mirna_primary_transcript","chr14",101026020,101026107,"MI0003757","hsa-mir-758"
"mirna","chr14",101026071,101026092,"MIMAT0003879","hsa-mir-758-3p"
"mirna","chr14",101026034,101026055,"MIMAT0022929","hsa-mir-758-5p"
"mirna_primary_transcript","chr14",101026785,101026864,"MI0001725","hsa-mir-329-1"
"mirna_primary_transcript","chr14",101027100,101027183,"MI0001726","hsa-mir-329-2"
"mirna_primary_transcript","chr14",101029634,101029714,"MI0003134","hsa-mir-494"
"mirna","chr14",101029681,101029702,"MIMAT0002816","hsa-mir-494-3p"
"mirna","chr14",101029648,101029670,"MIMAT0026607","hsa-mir-494-5p"
"mirna","chr14",101030061,101030083,"MIMAT0015049","hsa-mir-1193"
"mirna","chr14",101032033,101032054,"MIMAT0004954","hsa-mir-543"
"mirna_primary_transcript","chr14",101033755,101033836,"MI0003135","hsa-mir-495"
"mirna","chr14",101033804,101033825,"MIMAT0002817","hsa-mir-495-3p"
"mirna","chr14",101033768,101033789,"MIMAT0022924","hsa-mir-495-5p"
"mirna_primary_transcript","chr14",101039690,101039755,"MI0000776","hsa-mir-376c"
"mirna","chr14",101039732,101039752,"MIMAT0000720","hsa-mir-376c-3p"
"mirna","chr14",101039694,101039714,"MIMAT0022861","hsa-mir-376c-5p"
"mirna_primary_transcript","chr14",101040069,101040148,"MI0003529","hsa-mir-376a-2"
"mirna","chr14",101040080,101040100,"MIMAT0022928","hsa-mir-376a-2-5p"
"mirna_primary_transcript","chr14",101040219,101040299,"MI0003676","hsa-mir-654"
"mirna","chr14",101040234,101040255,"MIMAT0003330","hsa-mir-654-5p"
"mirna","chr14",101040269,101040290,"MIMAT0004814","hsa-mir-654-3p"
"mirna_primary_transcript","chr14",101040436,101040535,"MI0002466","hsa-mir-376b"
"mirna","chr14",101040497,101040518,"MIMAT0002172","hsa-mir-376b-3p"
"mirna","chr14",101040459,101040480,"MIMAT0022923","hsa-mir-376b-5p"
"mirna_primary_transcript","chr14",101040782,101040849,"MI0000784","hsa-mir-376a-1"
"mirna","chr14",101040788,101040809,"MIMAT0003386","hsa-mir-376a-5p"
"mirna","chr14",101041414,101041435,"MIMAT0004903","hsa-mir-300"
"mirna_primary_transcript","chr14",101042977,101043062,"MI0003844","hsa-mir-1185-1"
"mirna","chr14",101043029,101043050,"MIMAT0022838","hsa-mir-1185-1-3p"
"mirna_primary_transcript","chr14",101044198,101044283,"MI0003821","hsa-mir-1185-2"
"mirna","chr14",101044250,101044271,"MIMAT0022713","hsa-mir-1185-2-3p"
"mirna_primary_transcript","chr14",101045920,101045994,"MI0000789","hsa-mir-381"
"mirna","chr14",101045968,101045989,"MIMAT0000736","hsa-mir-381-3p"
"mirna","chr14",101045927,101045948,"MIMAT0022862","hsa-mir-381-5p"
"mirna_primary_transcript","chr14",101046455,101046538,"MI0003530","hsa-mir-487b"
"mirna","chr14",101046505,101046526,"MIMAT0003180","hsa-mir-487b-3p"
"mirna","chr14",101046469,101046490,"MIMAT0026614","hsa-mir-487b-5p"
"mirna_primary_transcript","chr14",101047321,101047398,"MI0003514","hsa-mir-539"
"mirna","chr14",101047329,101047350,"MIMAT0003163","hsa-mir-539-5p"
"mirna","chr14",101047369,101047390,"MIMAT0022705","hsa-mir-539-3p"
"mirna_primary_transcript","chr14",101047901,101047979,"MI0005540","hsa-mir-889"
"mirna","chr14",101047949,101047969,"MIMAT0004921","hsa-mir-889-3p"
"mirna","chr14",101047911,101047932,"MIMAT0026719","hsa-mir-889-5p"
"mirna","chr14",101048712,101048733,"MIMAT0003164","hsa-mir-544a"
"mirna_primary_transcript","chr14",101049550,101049646,"MI0003677","hsa-mir-655"
"mirna","chr14",101049610,101049631,"MIMAT0003331","hsa-mir-655-3p"
"mirna","chr14",101049572,101049593,"MIMAT0026626","hsa-mir-655-5p"
"mirna_primary_transcript","chr14",101052446,101052525,"MI0002471","hsa-mir-487a"
"mirna","chr14",101052494,101052515,"MIMAT0002178","hsa-mir-487a-3p"
"mirna","chr14",101052458,101052479,"MIMAT0026559","hsa-mir-487a-5p"
"mirna_primary_transcript","chr14",101054306,101054381,"MI0000790","hsa-mir-382"
"mirna","chr14",101054316,101054337,"MIMAT0000737","hsa-mir-382-5p"
"mirna","chr14",101054352,101054372,"MIMAT0022697","hsa-mir-382-3p"
"mirna_primary_transcript","chr14",101054687,101054759,"MI0000474","hsa-mir-134"
"mirna","chr14",101054694,101054715,"MIMAT0000447","hsa-mir-134-5p"
"mirna","chr14",101054732,101054754,"MIMAT0026481","hsa-mir-134-3p"
"mirna_primary_transcript","chr14",101055258,101055323,"MI0003761","hsa-mir-668"
"mirna","chr14",101055300,101055322,"MIMAT0003881","hsa-mir-668-3p"
"mirna","chr14",101055264,101055282,"MIMAT0026636","hsa-mir-668-5p"
"mirna_primary_transcript","chr14",101055419,101055491,"MI0002469","hsa-mir-485"
"mirna","chr14",101055427,101055448,"MIMAT0002175","hsa-mir-485-5p"
"mirna","chr14",101055464,101055485,"MIMAT0002176","hsa-mir-485-3p"
"mirna_primary_transcript","chr14",101056219,101056300,"MI0014206","hsa-mir-323b"
"mirna","chr14",101056233,101056255,"MIMAT0001630","hsa-mir-323b-5p"
"mirna","chr14",101056269,101056290,"MIMAT0015050","hsa-mir-323b-3p"
"mirna_primary_transcript","chr14",101059755,101059838,"MI0000480","hsa-mir-154"
"mirna","chr14",101059769,101059790,"MIMAT0000452","hsa-mir-154-5p"
"mirna","chr14",101059805,101059826,"MIMAT0000453","hsa-mir-154-3p"
"mirna","chr14",101060628,101060649,"MIMAT0002818","hsa-mir-496"
"mirna_primary_transcript","chr14",101062050,101062118,"MI0000785","hsa-mir-377"
"mirna","chr14",101062056,101062077,"MIMAT0004689","hsa-mir-377-5p"
"mirna","chr14",101062094,101062115,"MIMAT0000730","hsa-mir-377-3p"
"mirna_primary_transcript","chr14",101064495,101064578,"MI0005539","hsa-mir-541"
"mirna","chr14",101064504,101064528,"MIMAT0004919","hsa-mir-541-5p"
"mirna","chr14",101064548,101064569,"MIMAT0004920","hsa-mir-541-3p"
"mirna_primary_transcript","chr14",101065300,101065378,"MI0001735","hsa-mir-409"
"mirna","chr14",101065314,101065336,"MIMAT0001638","hsa-mir-409-5p"
"mirna","chr14",101065346,101065367,"MIMAT0001639","hsa-mir-409-3p"
"mirna_primary_transcript","chr14",101065447,101065537,"MI0002464","hsa-mir-412"
"mirna","chr14",101065500,101065522,"MIMAT0002170","hsa-mir-412-3p"
"mirna","chr14",101065465,101065487,"MIMAT0026557","hsa-mir-412-5p"
"mirna_primary_transcript","chr14",101065598,101065667,"MI0000777","hsa-mir-369"
"mirna","chr14",101065606,101065627,"MIMAT0001621","hsa-mir-369-5p"
"mirna","chr14",101065641,101065661,"MIMAT0000721","hsa-mir-369-3p"
"mirna_primary_transcript","chr14",101065912,101065991,"MI0002465","hsa-mir-410"
"mirna","chr14",101065961,101065981,"MIMAT0002171","hsa-mir-410-3p"
"mirna","chr14",101065925,101065945,"MIMAT0026558","hsa-mir-410-5p"
"mirna_primary_transcript","chr14",101066724,101066801,"MI0003678","hsa-mir-656"
"mirna","chr14",101066766,101066786,"MIMAT0003332","hsa-mir-656-3p"
"mirna","chr14",101066731,101066751,"MIMAT0026627","hsa-mir-656-5p"
"mirna_primary_transcript","chr14",101560287,101560422,"MI0006382","hsa-mir-1247"
"mirna","chr14",101560362,101560383,"MIMAT0005899","hsa-mir-1247-5p"
"mirna","chr14",101560326,101560349,"MIMAT0022721","hsa-mir-1247-3p"
"mirna","chr14",102539654,102539671,"MIMAT0016859","hsa-mir-4309"
"mirna_primary_transcript","chr14",104117405,104117514,"MI0000283","hsa-mir-203a"
"mirna","chr14",104117469,104117490,"MIMAT0000264","hsa-mir-203a-3p"
"mirna","chr14",104117431,104117455,"MIMAT0031890","hsa-mir-203a-5p"
"mirna_primary_transcript","chr14",104117418,104117503,"MI0017343","hsa-mir-203b"
"mirna","chr14",104117468,104117489,"MIMAT0019813","hsa-mir-203b-5p"
"mirna","chr14",104117428,104117450,"MIMAT0019814","hsa-mir-203b-3p"
"mirna","chr14",104677723,104677740,"MIMAT0019815","hsa-mir-4710"
"mirna","chr14",104865329,104865349,"MIMAT0049015","hsa-mir-12121"
"mirna_primary_transcript","chr14",105150778,105150864,"MI0022610","hsa-mir-6765"
"mirna","chr14",105150840,105150864,"MIMAT0027430","hsa-mir-6765-5p"
"mirna","chr14",105150778,105150798,"MIMAT0027431","hsa-mir-6765-3p"
"mirna_primary_transcript","chr14",105621116,105621180,"MI0025907","hsa-mir-8071-1"
"mirna_primary_transcript","chr14",105640168,105640232,"MI0026417","hsa-mir-8071-2"
"mirna","chr14",105857513,105857534,"MIMAT0019082","hsa-mir-4539"
"mirna","chr14",105858125,105858144,"MIMAT0019044","hsa-mir-4507"
"mirna","chr14",105858221,105858242,"MIMAT0019081","hsa-mir-4538"
"mirna","chr14",105859532,105859553,"MIMAT0019080","hsa-mir-4537"
"mirna_primary_transcript","chr14",106850885,106850999,"MI0018174","hsa-mir-5195"
"mirna","chr14",106850943,106850964,"MIMAT0021126","hsa-mir-5195-5p"
"mirna","chr14",106850910,106850930,"MIMAT0021127","hsa-mir-5195-3p"
"mirna_primary_transcript","chr15",20832795,20832869,"MI0014132","hsa-mir-3118-2"
"mirna_primary_transcript","chr15",20940252,20940333,"MI0019308","hsa-mir-5701-1"
"mirna_primary_transcript","chr15",21406385,21406459,"MI0014133","hsa-mir-3118-3"
"mirna_primary_transcript","chr15",21513959,21514040,"MI0019593","hsa-mir-5701-2"
"mirna_primary_transcript","chr15",21843750,21843824,"MI0014207","hsa-mir-3118-4"
"mirna_primary_transcript","chr15",21951242,21951323,"MI0031522","hsa-mir-5701-3"
"mirna","chr15",22225308,22225325,"MIMAT0005922","hsa-mir-1268a"
"mirna_primary_transcript","chr15",23197827,23197920,"MI0016873","hsa-mir-4509-1"
"mirna","chr15",23562107,23562123,"MIMAT0019045","hsa-mir-4508"
"mirna_primary_transcript","chr15",25848747,25848825,"MI0017349","hsa-mir-4715"
"mirna","chr15",25848795,25848816,"MIMAT0019824","hsa-mir-4715-5p"
"mirna","chr15",25848758,25848780,"MIMAT0019825","hsa-mir-4715-3p"
"mirna_primary_transcript","chr15",28426491,28426584,"MI0016874","hsa-mir-4509-2"
"mirna_primary_transcript","chr15",28490752,28490845,"MI0016875","hsa-mir-4509-3"
"mirna_primary_transcript","chr15",31065032,31065141,"MI0000287","hsa-mir-211"
"mirna","chr15",31065095,31065116,"MIMAT0000268","hsa-mir-211-5p"
"mirna","chr15",31065059,31065079,"MIMAT0022694","hsa-mir-211-3p"
"mirna_primary_transcript","chr15",34382069,34382150,"MI0006323","hsa-mir-1233-1"
"mirna_primary_transcript","chr15",34528290,34528371,"MI0015973","hsa-mir-1233-2"
"mirna_primary_transcript","chr15",35372256,35372364,"MI0016599","hsa-mir-3942"
"mirna","chr15",35372321,35372342,"MIMAT0018358","hsa-mir-3942-5p"
"mirna","chr15",35372280,35372300,"MIMAT0019230","hsa-mir-3942-3p"
"mirna","chr15",35926863,35926884,"MIMAT0019047","hsa-mir-4510"
"mirna","chr15",36972831,36972852,"MIMAT0030990","hsa-mir-8063"
"mirna","chr15",41691645,41691663,"MIMAT0003295","hsa-mir-626"
"mirna","chr15",41866505,41866520,"MIMAT0016862","hsa-mir-4310"
"mirna_primary_transcript","chr15",42199570,42199666,"MI0003641","hsa-mir-627"
"mirna","chr15",42199630,42199651,"MIMAT0003296","hsa-mir-627-5p"
"mirna","chr15",42199593,42199612,"MIMAT0026623","hsa-mir-627-3p"
"mirna","chr15",43793732,43793751,"MIMAT0005940","hsa-mir-1282"
"mirna_primary_transcript","chr15",44717844,44717893,"MI0033417","hsa-mir-10393"
"mirna","chr15",44717844,44717868,"MIMAT0041617","hsa-mir-10393-5p"
"mirna","chr15",44717872,44717893,"MIMAT0041618","hsa-mir-10393-3p"
"mirna_primary_transcript","chr15",45433050,45433129,"MI0005544","hsa-mir-147b"
"mirna","chr15",45433098,45433118,"MIMAT0004928","hsa-mir-147b-3p"
"mirna","chr15",45433061,45433082,"MIMAT0037331","hsa-mir-147b-5p"
"mirna_primary_transcript","chr15",49169070,49169153,"MI0017350","hsa-mir-4716"
"mirna","chr15",49169121,49169142,"MIMAT0019826","hsa-mir-4716-5p"
"mirna","chr15",49169079,49169100,"MIMAT0019827","hsa-mir-4716-3p"
"mirna_primary_transcript","chr15",50360329,50360410,"MI0017346","hsa-mir-4712"
"mirna","chr15",50360337,50360358,"MIMAT0019818","hsa-mir-4712-5p"
"mirna","chr15",50360385,50360405,"MIMAT0019819","hsa-mir-4712-3p"
"mirna_primary_transcript","chr15",51242190,51242264,"MI0017347","hsa-mir-4713"
"mirna","chr15",51242200,51242221,"MIMAT0019820","hsa-mir-4713-5p"
"mirna","chr15",51242233,51242254,"MIMAT0019821","hsa-mir-4713-3p"
"mirna_primary_transcript","chr15",51314032,51314107,"MI0025749","hsa-mir-7973-2"
"mirna_primary_transcript","chr15",51314034,51314109,"MI0025748","hsa-mir-7973-1"
"mirna_primary_transcript","chr15",52277117,52277200,"MI0006403","hsa-mir-1266"
"mirna","chr15",52277166,52277188,"MIMAT0005920","hsa-mir-1266-5p"
"mirna","chr15",52277131,52277152,"MIMAT0026742","hsa-mir-1266-3p"
"mirna_primary_transcript","chr15",55372940,55373034,"MI0003642","hsa-mir-628"
"mirna","chr15",55372991,55373012,"MIMAT0004809","hsa-mir-628-5p"
"mirna","chr15",55372954,55372974,"MIMAT0003297","hsa-mir-628-3p"
"mirna_primary_transcript","chr15",59171183,59171262,"MI0010635","hsa-mir-2116"
"mirna","chr15",59171229,59171249,"MIMAT0011160","hsa-mir-2116-5p"
"mirna","chr15",59171192,59171212,"MIMAT0011161","hsa-mir-2116-3p"
"mirna","chr15",62304703,62304724,"MIMAT0030994","hsa-mir-8067"
"mirna","chr15",62343111,62343129,"MIMAT0023710","hsa-mir-6085"
"mirna_primary_transcript","chr15",62823957,62824041,"MI0000486","hsa-mir-190a"
"mirna","chr15",62823971,62823992,"MIMAT0000458","hsa-mir-190a-5p"
"mirna","chr15",62824008,62824028,"MIMAT0026482","hsa-mir-190a-3p"
"mirna","chr15",63870989,63871010,"MIMAT0001339","hsa-mir-422a"
"mirna","chr15",64762471,64762496,"MIMAT0005925","hsa-mir-1272"
"mirna","chr15",65719297,65719318,"MIMAT0019048","hsa-mir-4511"
"mirna","chr15",66040243,66040260,"MIMAT0016863","hsa-mir-4311"
"mirna","chr15",66496965,66496986,"MIMAT0019049","hsa-mir-4512"
"mirna","chr15",68801860,68801878,"MIMAT0016864","hsa-mir-4312"
"mirna_primary_transcript","chr15",70079372,70079468,"MI0003643","hsa-mir-629"
"mirna","chr15",70079427,70079447,"MIMAT0004810","hsa-mir-629-5p"
"mirna","chr15",70079387,70079408,"MIMAT0003298","hsa-mir-629-3p"
"mirna","chr15",72587277,72587298,"MIMAT0003299","hsa-mir-630"
"mirna","chr15",73299962,73299979,"MIMAT0049031","hsa-mir-12135"
"mirna_primary_transcript","chr15",74411357,74411432,"MI0022728","hsa-mir-6881"
"mirna","chr15",74411406,74411427,"MIMAT0027662","hsa-mir-6881-5p"
"mirna","chr15",74411361,74411382,"MIMAT0027663","hsa-mir-6881-3p"
"mirna","chr15",74788723,74788744,"MIMAT0019050","hsa-mir-4513"
"mirna_primary_transcript","chr15",74840642,74840707,"MI0022729","hsa-mir-6882"
"mirna","chr15",74840681,74840702,"MIMAT0027664","hsa-mir-6882-5p"
"mirna","chr15",74840642,74840665,"MIMAT0027665","hsa-mir-6882-3p"
"mirna","chr15",75353650,75353670,"MIMAT0003300","hsa-mir-631"
"mirna","chr15",75762286,75762305,"MIMAT0016865","hsa-mir-4313"
"mirna","chr15",79209840,79209861,"MIMAT0000454","hsa-mir-184"
"mirna","chr15",80581179,80581199,"MIMAT0022260","hsa-mir-5572"
"mirna_primary_transcript","chr15",80841978,80842073,"MI0003679","hsa-mir-549a"
"mirna","chr15",80841993,80842013,"MIMAT0003333","hsa-mir-549a-3p"
"mirna","chr15",80842025,80842046,"MIMAT0037328","hsa-mir-549a-5p"
"mirna","chr15",80997450,80997467,"MIMAT0019051","hsa-mir-4514"
"mirna","chr15",83067349,83067370,"MIMAT0019052","hsa-mir-4515"
"mirna","chr15",85380639,85380662,"MIMAT0030021","hsa-mir-7706"
"mirna","chr15",85770548,85770567,"MIMAT0005930","hsa-mir-1276"
"mirna_primary_transcript","chr15",85825635,85825730,"MI0017875","hsa-mir-548ap"
"mirna","chr15",85825655,85825673,"MIMAT0021037","hsa-mir-548ap-5p"
"mirna","chr15",85825692,85825710,"MIMAT0021038","hsa-mir-548ap-3p"
"mirna_primary_transcript","chr15",87946206,87946268,"MI0035972","hsa-mir-11181"
"mirna","chr15",87946248,87946268,"MIMAT0043996","hsa-mir-11181-5p"
"mirna","chr15",87946211,87946228,"MIMAT0043997","hsa-mir-11181-3p"
"mirna","chr15",88608121,88608141,"MIMAT0005824","hsa-mir-1179"
"mirna_primary_transcript","chr15",88611825,88611934,"MI0000264","hsa-mir-7-2"
"mirna","chr15",88611896,88611917,"MIMAT0004554","hsa-mir-7-2-3p"
"mirna_primary_transcript","chr15",88611847,88611924,"MI0017351","hsa-mir-3529"
"mirna","chr15",88611894,88611915,"MIMAT0019828","hsa-mir-3529-5p"
"mirna","chr15",88611856,88611879,"MIMAT0022741","hsa-mir-3529-3p"
"mirna_primary_transcript","chr15",89326739,89326810,"MI0022611","hsa-mir-6766"
"mirna","chr15",89326782,89326805,"MIMAT0027432","hsa-mir-6766-5p"
"mirna","chr15",89326742,89326763,"MIMAT0027433","hsa-mir-6766-3p"
"mirna_primary_transcript","chr15",89368017,89368106,"MI0000468","hsa-mir-9-3"
"mirna","chr15",89850690,89850711,"MIMAT0021086","hsa-mir-5094"
"mirna_primary_transcript","chr15",89883931,89884030,"MI0017877","hsa-mir-5009"
"mirna","chr15",89883987,89884010,"MIMAT0021041","hsa-mir-5009-5p"
"mirna","chr15",89883949,89883970,"MIMAT0021042","hsa-mir-5009-3p"
"mirna","chr15",90006764,90006786,"MIMAT0015051","hsa-mir-3174"
"mirna","chr15",92904408,92904429,"MIMAT0015052","hsa-mir-3175"
"mirna","chr15",96333261,96333282,"MIMAT0007347","hsa-mir-1469"
"mirna_primary_transcript","chr15",98784426,98784502,"MI0017348","hsa-mir-4714"
"mirna","chr15",98784435,98784456,"MIMAT0019822","hsa-mir-4714-5p"
"mirna","chr15",98784473,98784494,"MIMAT0019823","hsa-mir-4714-3p"
"mirna_primary_transcript","chr15",101960459,101960596,"MI0015979","hsa-mir-1302-10"
"mirna_primary_transcript","chr15",101973524,101973591,"MI0026421","hsa-mir-6859-3"
"mirna_primary_transcript","chr16",17052,17119,"MI0031521","hsa-mir-6859-4"
"mirna_primary_transcript","chr16",535316,535368,"MI0019144","hsa-mir-5587"
"mirna","chr16",535316,535333,"MIMAT0022289","hsa-mir-5587-5p"
"mirna","chr16",535348,535368,"MIMAT0022290","hsa-mir-5587-3p"
"mirna","chr16",543336,543354,"MIMAT0015053","hsa-mir-3176"
"mirna","chr16",770243,770263,"MIMAT0003325","hsa-mir-662"
"mirna_primary_transcript","chr16",1734985,1735066,"MI0014211","hsa-mir-3177"
"mirna","chr16",1735038,1735058,"MIMAT0015054","hsa-mir-3177-3p"
"mirna","chr16",1734995,1735017,"MIMAT0019215","hsa-mir-3177-5p"
"mirna_primary_transcript","chr16",2090195,2090284,"MI0006311","hsa-mir-1225"
"mirna","chr16",2090263,2090284,"MIMAT0005572","hsa-mir-1225-5p"
"mirna","chr16",2090195,2090216,"MIMAT0005573","hsa-mir-1225-3p"
"mirna_primary_transcript","chr16",2106669,2106753,"MI0022552","hsa-mir-6511b-1"
"mirna","chr16",2133120,2133136,"MIMAT0019053","hsa-mir-4516"
"mirna_primary_transcript","chr16",2135977,2136129,"MI0016409","hsa-mir-3180-5"
"mirna_primary_transcript","chr16",2270713,2270772,"MI0016078","hsa-mir-3677"
"mirna","chr16",2270751,2270772,"MIMAT0018101","hsa-mir-3677-3p"
"mirna","chr16",2270715,2270736,"MIMAT0019221","hsa-mir-3677-5p"
"mirna","chr16",2271806,2271826,"MIMAT0004983","hsa-mir-940"
"mirna_primary_transcript","chr16",2274620,2274691,"MI0017352","hsa-mir-4717"
"mirna","chr16",2274629,2274650,"MIMAT0019829","hsa-mir-4717-5p"
"mirna","chr16",2274661,2274681,"MIMAT0019830","hsa-mir-4717-3p"
"mirna_primary_transcript","chr16",2445392,2445457,"MI0022612","hsa-mir-6767"
"mirna","chr16",2445397,2445419,"MIMAT0027434","hsa-mir-6767-5p"
"mirna","chr16",2445436,2445457,"MIMAT0027435","hsa-mir-6767-3p"
"mirna_primary_transcript","chr16",2463967,2464038,"MI0022613","hsa-mir-6768"
"mirna","chr16",2463972,2463994,"MIMAT0027436","hsa-mir-6768-5p"
"mirna","chr16",2464011,2464034,"MIMAT0027437","hsa-mir-6768-3p"
"mirna","chr16",2531979,2531995,"MIMAT0015055","hsa-mir-3178"
"mirna","chr16",3485422,3485439,"MIMAT0024599","hsa-mir-6126"
"mirna_primary_transcript","chr16",4671318,4671390,"MI0022614","hsa-mir-6769a"
"mirna","chr16",4671323,4671343,"MIMAT0027438","hsa-mir-6769a-5p"
"mirna","chr16",4671370,4671390,"MIMAT0027439","hsa-mir-6769a-3p"
"mirna","chr16",5632533,5632556,"MIMAT0030992","hsa-mir-8065"
"mirna_primary_transcript","chr16",11306440,11306527,"MI0006412","hsa-mir-548h-2"
"mirna","chr16",12720321,12720341,"MIMAT0019831","hsa-mir-4718"
"mirna_primary_transcript","chr16",14303967,14304049,"MI0003137","hsa-mir-193b"
"mirna","chr16",14303980,14304001,"MIMAT0004767","hsa-mir-193b-5p"
"mirna","chr16",14304017,14304038,"MIMAT0002819","hsa-mir-193b-3p"
"mirna_primary_transcript","chr16",14309285,14309371,"MI0000767","hsa-mir-365a"
"mirna","chr16",14309340,14309361,"MIMAT0000710","hsa-mir-365a-3p"
"mirna","chr16",14309300,14309322,"MIMAT0009199","hsa-mir-365a-5p"
"mirna_primary_transcript","chr16",14901508,14901591,"MI0014213","hsa-mir-3179-1"
"mirna_primary_transcript","chr16",14907717,14907781,"MI0016071","hsa-mir-3670-1"
"mirna_primary_transcript","chr16",14911220,14911313,"MI0014214","hsa-mir-3180-1"
"mirna_primary_transcript","chr16",14925937,14926003,"MI0022223","hsa-mir-6511a-1"
"mirna_primary_transcript","chr16",14930820,14930879,"MI0022615","hsa-mir-6770-1"
"mirna_primary_transcript","chr16",15010321,15010397,"MI0009982","hsa-mir-1972-1"
"mirna_primary_transcript","chr16",15134075,15134145,"MI0023431","hsa-mir-6511b-2"
"mirna_primary_transcript","chr16",15154850,15155002,"MI0016408","hsa-mir-3180-4"
"mirna_primary_transcript","chr16",15611030,15611095,"MI0022218","hsa-mir-6506"
"mirna","chr16",15611072,15611094,"MIMAT0025468","hsa-mir-6506-5p"
"mirna","chr16",15611031,15611052,"MIMAT0025469","hsa-mir-6506-3p"
"mirna","chr16",15643301,15643322,"MIMAT0002174","hsa-mir-484"
"mirna_primary_transcript","chr16",16300159,16300242,"MI0014216","hsa-mir-3179-2"
"mirna_primary_transcript","chr16",16306370,16306434,"MI0019112","hsa-mir-3670-2"
"mirna_primary_transcript","chr16",16309879,16309966,"MI0014215","hsa-mir-3180-2"
"mirna_primary_transcript","chr16",16324588,16324654,"MI0023564","hsa-mir-6511a-2"
"mirna_primary_transcript","chr16",16329305,16329364,"MI0026418","hsa-mir-6770-2"
"mirna_primary_transcript","chr16",16368876,16368942,"MI0023565","hsa-mir-6511a-3"
"mirna_primary_transcript","chr16",18344013,18344079,"MI0023566","hsa-mir-6511a-4"
"mirna_primary_transcript","chr16",18379351,18379410,"MI0026419","hsa-mir-6770-3"
"mirna_primary_transcript","chr16",18402178,18402271,"MI0014217","hsa-mir-3180-3"
"mirna_primary_transcript","chr16",18405698,18405762,"MI0031513","hsa-mir-3670-3"
"mirna_primary_transcript","chr16",18411894,18411977,"MI0014221","hsa-mir-3179-3"
"mirna_primary_transcript","chr16",18488301,18488365,"MI0031514","hsa-mir-3670-4"
"mirna_primary_transcript","chr16",18494493,18494576,"MI0031510","hsa-mir-3179-4"
"mirna_primary_transcript","chr16",21506049,21506135,"MI0016081","hsa-mir-3680-1"
"mirna_primary_transcript","chr16",24203116,24203231,"MI0025512","hsa-mir-1273h"
"mirna","chr16",24203148,24203168,"MIMAT0030415","hsa-mir-1273h-5p"
"mirna","chr16",24203186,24203207,"MIMAT0030416","hsa-mir-1273h-3p"
"mirna","chr16",26025246,26025268,"MIMAT0015060","hsa-mir-548w"
"mirna_primary_transcript","chr16",28390982,28391051,"MI0022709","hsa-mir-6862-1"
"mirna_primary_transcript","chr16",28724252,28724321,"MI0026415","hsa-mir-6862-2"
"mirna","chr16",28843927,28843948,"MIMAT0019835","hsa-mir-4721"
"mirna","chr16",28958587,28958611,"MIMAT0019054","hsa-mir-4517"
"mirna_primary_transcript","chr16",29599179,29599265,"MI0019113","hsa-mir-3680-2"
"mirna","chr16",30503968,30503993,"MIMAT0019055","hsa-mir-4518"
"mirna","chr16",30875301,30875318,"MIMAT0019056","hsa-mir-4519"
"mirna","chr16",30893951,30893972,"MIMAT0010313","hsa-mir-762"
"mirna","chr16",34163601,34163621,"MIMAT0039321","hsa-mir-9901"
"mirna_primary_transcript","chr16",50292616,50292675,"MI0022616","hsa-mir-6771"
"mirna","chr16",50292621,50292642,"MIMAT0027442","hsa-mir-6771-5p"
"mirna","chr16",50292655,50292675,"MIMAT0027443","hsa-mir-6771-3p"
"mirna","chr16",50742313,50742331,"MIMAT0015061","hsa-mir-3181"
"mirna","chr16",56245577,56245598,"MIMAT0018350","hsa-mir-3935"
"mirna_primary_transcript","chr16",56858518,56858601,"MI0000455","hsa-mir-138-2"
"mirna","chr16",56858574,56858595,"MIMAT0004596","hsa-mir-138-2-3p"
"mirna","chr16",56904327,56904349,"MIMAT0027627","hsa-mir-6863"
